NO,PEKERJAAN,KETERANGAN_PEKERJAAN,TANGGAL_LAHIR,STATUS_PERNIKAHAN,KETERANGAN_STATUS_PERNIKAHAN,KELURAHAN,KECAMATAN,KOTA,PROVINSI,PRODUK,SUB_PRODUK,KETERANGAN_SUB_PRODUK,TANGGAL_INPUT,PLAFOND,JK_WAKTUBULAN,HASIL_PRESCREENING_SLIK,HASIL_PRESCREENING_SIKPKUR,HASIL_PRESCREENING_DUKCAPIL,HASIL_PRESCREENING_DHNBI,HASIL_PRESCREENING_1,STATUS,KOLEKTABILITAS,KETERANGAN
786,99,Lain-Lain,1982-11-02,K,Kawin,PULAU TIDUNG,KEPULAUAN SERIBU SELATAN,KEPULAUAN SERIBU,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2025-02-07,25000000.0,10,Medium,-,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,2,Dalam Perhatian Khusus
787,37,Pegawai pemerintahan/lembaga negara,1970-06-23,K,Kawin,JOGLO,KEMBANGAN,JAKARTA BARAT,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2023-01-03,166000000.0,65,Medium,-,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,2,Dalam Perhatian Khusus
788,10,Militer,1962-05-10,K,Kawin,CENGKARENG BARAT,CENGKARENG,JAKARTA BARAT,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2008-09-09,100000000.0,120,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
789,37,Pegawai pemerintahan/lembaga negara,1983-06-13,K,Kawin,KEMBANGAN UTARA,KEMBANGAN,JAKARTA BARAT,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2024-10-30,130000000.0,48,Medium,-,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,2,Dalam Perhatian Khusus
790,12,Pelajar/Mahasiswa,1966-08-19,K,Kawin,CILODONG,SUKMA JAYA,DEPOK,JAWA BARAT,Konsumer,KMG,Kredit Multi Guna,2024-12-13,50000000.0,12,Medium,-,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,2,Dalam Perhatian Khusus
791,5,Administrasi umum,1980-07-25,K,Kawin,SEMPER TIMUR,CILINCING,JAKARTA UTARA,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2023-09-07,139000000.0,84,High,-,Sesuai,Tidak,Lolos,Waiting Approval,5,Macet
792,37,Pegawai pemerintahan/lembaga negara,1981-03-24,K,Kawin,PEGADUNGAN,KALI DERES,JAKARTA BARAT,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2022-01-27,160000000.0,84,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
793,99,Lain-Lain,1985-12-24,K,Kawin,LENTENG AGUNG,JAGAKARSA,JAKARTA SELATAN,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2025-01-14,25000000.0,11,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
794,9,"Pengajar (Guru,Dosen)",1975-09-30,K,Kawin,DUREN SAWIT,DUREN SAWIT,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2023-11-02,200000000.0,84,High,-,Sesuai,Tidak,Lolos,Waiting Approval,5,Macet
795,8,Marketing,1997-05-21,B,Belum Kawin,CIDENG,GAMBIR,JAKARTA PUSAT,DKI JAKARTA,Konsumer,KPR,Kredit Pemilikan Rumah,2021-06-18,198470000.0,180,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
796,37,Pegawai pemerintahan/lembaga negara,1985-10-13,K,Kawin,CIKINI,MENTENG,JAKARTA PUSAT,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2023-11-07,200000000.0,36,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
797,9,"Pengajar (Guru,Dosen)",1966-08-08,K,Kawin,PENGGILINGAN,CAKUNG,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2024-09-23,165000000.0,21,High,-,Sesuai,Tidak,Lolos,Waiting Approval,5,Macet
798,19,"Tenaga Medis (Perawat, Bidan, dan sebagainya)",1991-03-05,K,Kawin,JATIMELATI,PONDOK MELATI,KOTA BEKASI,JAWA BARAT,Konsumer,KMG,Kredit Multi Guna,2021-08-04,251200000.0,120,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
799,9,"Pengajar (Guru,Dosen)",1989-09-10,K,Kawin,CIPINANG BESAR UTARA,JATINEGARA,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2025-06-04,30000000.0,36,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
800,8,Marketing,1981-03-08,K,Kawin,DUREN MEKAR,BOJONGSARI,KOTA DEPOK,JAWA BARAT,Konsumer,KPR,Kredit Pemilikan Rumah,2014-07-21,300587580.0,180,High,-,Sesuai,Tidak,Lolos,Waiting Approval,5,Macet
801,99,Lain-Lain,1972-01-25,K,Kawin,CILINCING,CILINCING,JAKARTA UTARA,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2023-08-30,186900000.0,76,Medium,-,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,2,Dalam Perhatian Khusus
802,99,Lain-Lain,1972-10-23,K,Kawin,PINANG RANTI,MAKASAR,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2022-03-08,89000000.0,60,Medium,-,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,2,Dalam Perhatian Khusus
803,13,Wiraswasta,1959-03-23,K,Kawin,PEJATEN TIMUR,PASAR MINGGU,JAKARTA SELATAN,DKI JAKARTA,Mikro,Mikro KUR,Mikro Kredit Usaha Rakyat,2025-03-18,250000000.0,48,Low,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Accept,1,Lancar
804,5,Administrasi umum,1984-05-09,K,Kawin,JATIWARNA,PONDOK MELATI,BEKASI,JAWA BARAT,Konsumer,KMG,Kredit Multi Guna,2025-01-21,27414000.0,11,Medium,-,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,2,Dalam Perhatian Khusus
805,26,Pengamanan,1984-01-29,K,Kawin,HARAPAN BARU,BEKASI UTARA,BEKASI,JAWA BARAT,Konsumer,KMG,Kredit Multi Guna,2024-09-27,58000000.0,48,Medium,-,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,2,Dalam Perhatian Khusus
806,99,Lain-Lain,1986-03-24,K,Kawin,TUGU,CIMANGGIS,DEPOK,JAWA BARAT,Konsumer,KMG,Kredit Multi Guna,2025-02-28,100100000.0,60,High,-,Sesuai,Tidak,Lolos,Waiting Approval,5,Macet
807,37,Pegawai pemerintahan/lembaga negara,1980-08-09,D,Cerai,KEMBANGAN UTARA,KEMBANGAN,JAKARTA BARAT,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2023-06-23,55000000.0,60,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
808,8,Marketing,1970-05-14,K,Kawin,KAYU MANIS,MATRAMAN,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2007-12-03,45000000.0,36,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
809,31,"Transportasi darat (masinis, sopir,kondektur)",1979-04-27,D,Cerai,PEKAYON,PASAR REBO,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2022-06-22,215200000.0,120,High,-,Sesuai,Tidak,Lolos,Waiting Approval,5,Macet
810,4,Eksekutif,1995-04-05,B,Belum Kawin,BANGETAYU KULON,GENUK,SEMARANG,JAWA TENGAH,Konsumer,KMG,Kredit Multi Guna,2024-10-22,200000000.0,120,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
811,37,Pegawai pemerintahan/lembaga negara,1970-08-28,K,Kawin,KEMBANGAN UTARA,KEMBANGAN,JAKARTA BARAT,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2025-05-20,600000000.0,36,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
812,9,"Pengajar (Guru,Dosen)",1972-09-05,K,Kawin,PADEMANGAN TIMUR,PADEMANGAN,JAKARTA UTARA,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2020-05-19,291766310.0,108,High,-,Sesuai,Tidak,Lolos,Waiting Approval,5,Macet
813,9,"Pengajar (Guru,Dosen)",1967-01-23,K,Kawin,KALIBATA,PANCORAN,JAKARTA SELATAN,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2023-12-20,118000000.0,36,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
814,9,"Pengajar (Guru,Dosen)",1971-10-10,K,Kawin,GANDARIA SELATAN,CILANDAK,JAKARTA SELATAN,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2022-07-29,24800000.0,110,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
815,37,Pegawai pemerintahan/lembaga negara,1981-10-08,K,Kawin,KEBON BAWANG,TANJUNG PRIOK,JAKARTA UTARA,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2024-06-13,879000000.0,183,High,-,Sesuai,Tidak,Lolos,Waiting Approval,5,Macet
816,8,Marketing,1993-03-23,B,Belum Kawin,SEMANAN,KALI DERES,JAKARTA BARAT,DKI JAKARTA,Konsumer,KPR,Kredit Pemilikan Rumah,2024-10-11,179000000.0,240,Medium,-,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,2,Dalam Perhatian Khusus
817,9,"Pengajar (Guru,Dosen)",1960-06-10,K,Kawin,PENGGILINGAN,CAKUNG,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2021-10-27,70000000.0,60,Medium,-,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,2,Dalam Perhatian Khusus
818,5,Administrasi umum,1979-09-13,K,Kawin,CILILITAN,KRAMAT JATI,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2020-04-28,128000000.0,120,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
819,99,Lain-Lain,1980-01-22,K,Kawin,CENGKARENG BARAT,CENGKARENG,JAKARTA BARAT,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2019-09-12,200000000.0,72,Medium,-,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,2,Dalam Perhatian Khusus
820,37,Pegawai pemerintahan/lembaga negara,1969-03-19,K,Kawin,SRENGSENG SAWAH,JAGAKARSA,JAKARTA SELATAN,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2024-05-17,50000000.0,24,Medium,-,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,2,Dalam Perhatian Khusus
821,13,Wiraswasta,1998-10-24,B,Belum Kawin,PINANG RANTI,MAKASAR,JAKARTA TIMUR,DKI JAKARTA,Mikro,Mikro KUR,Mikro Kredit Usaha Rakyat,2023-08-14,191692800.0,60,High,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Waiting Approval,3,Kurang Lancar
822,5,Administrasi umum,1990-03-05,K,Kawin,KARANGLO,TAWANGMANGU,KAB. KARANGANYAR,JAWA TENGAH,Konsumer,KPR,Kredit Pemilikan Rumah,2024-01-25,175000000.0,180,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
823,5,Administrasi umum,1976-07-01,K,Kawin,TUGU UTARA,KOJA,JAKARTA UTARA,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2022-03-29,267000000.0,120,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
824,37,Pegawai pemerintahan/lembaga negara,1983-03-12,K,Kawin,CENGKARENG BARAT,CENGKARENG,JAKARTA BARAT,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2024-08-20,270000000.0,132,High,-,Sesuai,Tidak,Lolos,Waiting Approval,5,Macet
825,9,"Pengajar (Guru,Dosen)",1982-04-17,K,Kawin,CAKUNG BARAT,CAKUNG,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2024-03-08,80000000.0,60,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
826,37,Pegawai pemerintahan/lembaga negara,1984-05-11,K,Kawin,DUREN SAWIT,DUREN SAWIT,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2023-03-31,230000000.0,180,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
827,37,Pegawai pemerintahan/lembaga negara,1997-06-09,K,Kawin,TUGU UTARA,KOJA,JAKARTA UTARA,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2024-12-06,810000000.0,192,High,-,Sesuai,Tidak,Lolos,Waiting Approval,5,Macet
828,26,Pengamanan,1973-03-13,K,Kawin,CILINCING,CILINCING,JAKARTA UTARA,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2023-07-21,200000000.0,84,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
829,9,"Pengajar (Guru,Dosen)",1982-07-13,K,Kawin,ROROTAN,CILINCING,JAKARTA UTARA,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2023-04-17,141000000.0,60,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
830,99,Lain-Lain,2002-08-09,B,Belum Kawin,LONTARBARU,SERANG,SERANG,BANTEN,Konsumer,KPR,Kredit Pemilikan Rumah,2024-08-23,160300000.0,180,High,-,Sesuai,Tidak,Lolos,Waiting Approval,5,Macet
831,4,Eksekutif,1958-07-23,K,Kawin,SETIA MEKAR,TAMBUN SLT,KAB. BEKASI,JAWA BARAT,Konsumer,KMG,Kredit Multi Guna,2016-02-19,40000000.0,12,Medium,-,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,2,Dalam Perhatian Khusus
832,9,"Pengajar (Guru,Dosen)",1976-11-15,K,Kawin,TENGAH,KRAMAT JATI,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2020-05-19,113804176.0,66,Medium,-,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,2,Dalam Perhatian Khusus
833,5,Administrasi umum,1983-04-13,K,Kawin,PINANG,PINANG,TANGERANG SELATAN,BANTEN,Konsumer,KPR,Kredit Pemilikan Rumah,2014-11-05,384000000.0,117,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
834,5,Administrasi umum,1978-12-30,K,Kawin,CIPINANG,PULO GADUNG,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2025-07-22,55000000.0,24,Medium,-,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,2,Dalam Perhatian Khusus
835,9,"Pengajar (Guru,Dosen)",1964-05-10,K,Kawin,SETU,CIPAYUNG,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2024-09-23,193000000.0,96,Medium,-,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,2,Dalam Perhatian Khusus
836,37,Pegawai pemerintahan/lembaga negara,1979-08-10,K,Kawin,KEMBANGAN SELATAN,KEMBANGAN,JAKARTA BARAT,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2022-05-25,368000000.0,120,High,-,Sesuai,Tidak,Lolos,Waiting Approval,5,Macet
837,37,Pegawai pemerintahan/lembaga negara,2001-01-29,B,Belum Kawin,SEMPER TIMUR,CILINCING,JAKARTA UTARA,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2025-07-07,150000000.0,120,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
838,99,Lain-Lain,1997-09-10,B,Belum Kawin,BALA RAJA,BALARAJA,KAB. TANGERANG,BANTEN,Konsumer,KPR,Kredit Pemilikan Rumah,2024-07-17,179150000.0,180,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
839,9,"Pengajar (Guru,Dosen)",1967-03-08,K,Kawin,MEKAR JAYA,SUKMA JAYA,DEPOK,JAWA BARAT,Mikro,Mikro KUR,Mikro Kredit Usaha Rakyat,2023-10-20,500000000.0,60,High,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Waiting Approval,3,Kurang Lancar
840,26,Pengamanan,1969-08-05,K,Kawin,BAMBU APUS,CIPAYUNG,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2022-06-27,130100000.0,60,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
841,37,Pegawai pemerintahan/lembaga negara,1966-08-27,K,Kawin,LEBAK BULUS,CILANDAK,JAKARTA SELATAN,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2022-06-06,174000000.0,48,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
842,13,Wiraswasta,2001-08-08,B,Belum Kawin,PONDOK KACANG BARAT,PONDOK AREN,TANGERANG SELATAN,BANTEN,Mikro,Mikro KUR,Mikro Kredit Usaha Rakyat,2023-10-26,150000000.0,36,High,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Waiting Approval,3,Kurang Lancar
843,9,"Pengajar (Guru,Dosen)",1976-11-16,K,Kawin,LAGOA,KOJA,JAKARTA UTARA,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2024-05-16,541000000.0,149,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
844,37,Pegawai pemerintahan/lembaga negara,1972-07-28,K,Kawin,TENGAH,KRAMAT JATI,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2023-11-15,135300000.0,60,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
845,13,Wiraswasta,1984-10-08,K,Kawin,SEKELOA,COBLONG,BANDUNG,JAWA BARAT,Mikro,Mikro KUR,Mikro Kredit Usaha Rakyat,2025-04-25,100000000.0,36,High,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Waiting Approval,3,Kurang Lancar
846,9,"Pengajar (Guru,Dosen)",1972-05-05,K,Kawin,RAWA BUAYA,CENGKARENG,JAKARTA BARAT,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2023-07-03,20000000.0,60,Medium,-,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,2,Dalam Perhatian Khusus
847,99,Lain-Lain,1980-01-01,K,Kawin,PEGANGSAAN DUA,KELAPA GADING,JAKARTA UTARA,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2025-01-31,27000000.0,11,Medium,-,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,2,Dalam Perhatian Khusus
848,16,Nelayan,1970-07-14,K,Kawin,PULAU PARI,KEPULAUAN SERIBU SELATAN,KEPULAUAN SERIBU,DKI JAKARTA,Mikro,Mikro KUR,Mikro Kredit Usaha Rakyat,2022-10-26,15000000.0,24,Low,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Accept,1,Lancar
849,9,"Pengajar (Guru,Dosen)",1967-11-19,K,Kawin,LUBANG BUAYA,CIPAYUNG,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2019-10-09,300000000.0,96,Medium,-,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,2,Dalam Perhatian Khusus
850,9,"Pengajar (Guru,Dosen)",1969-06-12,K,Kawin,ROROTAN,CILINCING,JAKARTA UTARA,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2025-04-09,20000000.0,24,Medium,-,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,2,Dalam Perhatian Khusus
851,26,Pengamanan,1978-04-09,K,Kawin,SEMPER TIMUR,CILINCING,JAKARTA UTARA,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2023-08-31,85000000.0,60,High,-,Sesuai,Tidak,Lolos,Waiting Approval,3,Kurang Lancar
852,37,Pegawai pemerintahan/lembaga negara,2000-12-09,B,Belum Kawin,GEDONG,PASAR REBO,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2025-08-11,36000000.0,24,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
853,37,Pegawai pemerintahan/lembaga negara,1970-12-15,K,Kawin,RAWAMANGUN,PULO GADUNG,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2022-11-23,10000000.0,36,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
854,13,Wiraswasta,1989-09-29,K,Kawin,KAPAS MADYA BARU,TAMBAKSARI,SURABAYA,JAWA TIMUR,Mikro,Mikro KUR,Mikro Kredit Usaha Rakyat,2024-07-01,150000000.0,36,High,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Waiting Approval,3,Kurang Lancar
855,13,Wiraswasta,1976-09-19,K,Kawin,KEBON PALA,MAKASAR,JAKARTA TIMUR,DKI JAKARTA,Mikro,Mikro KUR,Mikro Kredit Usaha Rakyat,2024-03-22,180000000.0,60,Low,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Accept,1,Lancar
856,13,Wiraswasta,2003-07-16,K,Kawin,PARANGJORO,GROGOL,KAB. SUKOHARJO,JAWA TENGAH,Mikro,Mikro KUR,Mikro Kredit Usaha Rakyat,2024-07-25,200000000.0,60,Low,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Accept,1,Lancar
857,13,Wiraswasta,1984-09-13,K,Kawin,KEDAUNG,PAMULANG,TANGERANG SELATAN,BANTEN,Mikro,Mikro KUR,Mikro Kredit Usaha Rakyat,2024-09-27,350000000.0,48,High,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Waiting Approval,3,Kurang Lancar
858,31,"Transportasi darat (masinis, sopir,kondektur)",1996-07-29,K,Kawin,LENTENG AGUNG,JAGAKARSA,JAKARTA SELATAN,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2022-11-16,247300000.0,180,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
859,5,Administrasi umum,1995-05-05,B,Belum Kawin,SIDODADI,TAMAN,KAB. SIDOARJO,JAWA TIMUR,Konsumer,KPR,Kredit Pemilikan Rumah,2025-02-27,179150000.0,180,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
860,10,Militer,1967-09-10,K,Kawin,HARAPAN MULYA,MEDAN SATRIA,KOTA BEKASI,JAWA BARAT,Konsumer,KPR,Kredit Pemilikan Rumah,2013-03-21,210000000.0,156,High,-,Sesuai,Tidak,Lolos,Waiting Approval,3,Kurang Lancar
861,37,Pegawai pemerintahan/lembaga negara,1986-08-15,K,Kawin,DESA SUKASARI,KADUHEJO,KAB. PANDEGLANG,BANTEN,Konsumer,KMG,Kredit Multi Guna,2024-04-25,986700000.0,240,Medium,-,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,2,Dalam Perhatian Khusus
862,5,Administrasi umum,1983-11-04,K,Kawin,SEMPER BARAT,CILINCING,JAKARTA UTARA,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2023-06-06,600000000.0,180,Medium,-,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,2,Dalam Perhatian Khusus
863,11,Pensiunan,1963-09-09,D,Cerai,CIANGSANA,GUNUNG PUTRI,KAB. BOGOR,JAWA BARAT,Konsumer,KMG,Kredit Multi Guna,2024-09-20,70000000.0,107,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
864,4,Eksekutif,1981-04-07,K,Kawin,CIPINANG MELAYU,MAKASAR,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2022-03-15,1050000000.0,180,Medium,-,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,2,Dalam Perhatian Khusus
865,11,Pensiunan,1962-08-17,K,Kawin,KALIABANG TENGAH,BEKASI UTARA,BEKASI,JAWA BARAT,Konsumer,KMG,Kredit Multi Guna,2024-02-19,168300000.0,101,Medium,-,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,2,Dalam Perhatian Khusus
866,37,Pegawai pemerintahan/lembaga negara,1982-04-25,D,Cerai,KAYUMANIS,TANAH SAREAL,BOGOR,JAWA BARAT,Konsumer,KMG,Kredit Multi Guna,2024-02-07,86000000.0,37,High,-,Sesuai,Tidak,Lolos,Waiting Approval,3,Kurang Lancar
867,37,Pegawai pemerintahan/lembaga negara,1966-10-16,K,Kawin,MERUYUNG,LIMO,DEPOK,JAWA BARAT,Konsumer,KMG,Kredit Multi Guna,2024-09-25,60000000.0,24,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
868,4,Eksekutif,1980-03-01,K,Kawin,SUSUKAN,CIRACAS,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KPR,Kredit Pemilikan Rumah,2022-03-11,459000000.0,120,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
869,1,Accounting/Finance Officer,1996-01-03,B,Belum Kawin,JATI,PULO GADUNG,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KPR,Kredit Pemilikan Rumah,2020-11-25,195800000.0,240,High,-,Sesuai,Tidak,Lolos,Waiting Approval,3,Kurang Lancar
870,37,Pegawai pemerintahan/lembaga negara,1993-08-02,D,Cerai,RANCABOLANG,GEDEBAGE,BANDUNG,JAWA BARAT,Konsumer,KMG,Kredit Multi Guna,2025-07-16,132000000.0,180,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
871,37,Pegawai pemerintahan/lembaga negara,1990-10-29,K,Kawin,CEMPAKA PUTIH BARAT,CEMPAKA PUTIH,JAKARTA PUSAT,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2024-08-30,286100000.0,181,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
872,31,"Transportasi darat (masinis, sopir,kondektur)",1979-10-02,K,Kawin,KELAPA DUA,KEBON JERUK,JAKARTA BARAT,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2024-03-18,245100000.0,150,High,-,Sesuai,Tidak,Lolos,Waiting Approval,3,Kurang Lancar
873,99,Lain-Lain,1996-10-05,K,Kawin,KOTABAMBU SELATAN,PALMERAH,JAKARTA BARAT,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2025-01-23,31500000.0,11,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
874,9,"Pengajar (Guru,Dosen)",1981-11-11,K,Kawin,AREN JAYA,BEKASI TIMUR,BEKASI,JAWA BARAT,Konsumer,KMG,Kredit Multi Guna,2023-09-07,555000000.0,193,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
875,5,Administrasi umum,1970-02-17,K,Kawin,CIPADU,LARANGAN,TANGERANG,BANTEN,Konsumer,KMG,Kredit Multi Guna,2022-04-20,78600000.0,45,High,-,Sesuai,Tidak,Lolos,Waiting Approval,3,Kurang Lancar
876,99,Lain-Lain,1980-07-03,D,Cerai,GEDONG,PASAR REBO,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2022-08-19,265800000.0,178,Medium,-,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,2,Dalam Perhatian Khusus
877,4,Eksekutif,1962-04-27,K,Kawin,DURI PULO,GAMBIR,JAKARTA PUSAT,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2022-12-01,80000000.0,60,Medium,-,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,2,Dalam Perhatian Khusus
878,37,Pegawai pemerintahan/lembaga negara,1981-04-14,K,Kawin,KUTA BUMI,PASARKEMIS,KAB. TANGERANG,BANTEN,Konsumer,KMG,Kredit Multi Guna,2023-01-24,820000000.0,194,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
