Pekerjaan,Status Pernikahan,Produk,Sub Produk,Plafond,Jangka Waktu,Hasil Prescreening SLIK,Hasil Prescreening SIPKUR,Hasil Prescreening Dukcapil,Hasil Prescreening DHNBI,Hasil Prescreening,Status Aplikasi,Kolektabilitas,Usia
Lain-Lain,Belum Kawin,Konsumer,Kredit Multi Guna,168000000.0,174,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,40
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,163000000.0,84,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,58
Lain-Lain,Kawin,Konsumer,Kredit Multi Guna,28000000.0,36,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,43
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,15000000.0,60,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,49
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,180000000.0,60,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,45
Pengamanan,Kawin,Konsumer,Kredit Multi Guna,27000000.0,180,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,43
"Pengajar (Guru,Dosen)",Cerai,Konsumer,Kredit Multi Guna,52000000.0,36,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,39
Pensiunan,Kawin,Konsumer,Kredit Multi Guna,64200000.0,48,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,32
Administrasi umum,Belum Kawin,Konsumer,Kredit Pemilikan Rumah,175190000.0,180,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,30
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,239700000.0,43,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,56
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,605000000.0,122,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,41
Peternak,Kawin,Konsumer,Kredit Multi Guna,212000000.0,29,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,56
Administrasi umum,Kawin,Konsumer,Kredit Multi Guna,30600000.0,10,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,30
Lain-Lain,Kawin,Konsumer,Kredit Multi Guna,25000000.0,11,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,29
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,203000000.0,47,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,56
Pensiunan,Kawin,Konsumer,Kredit Multi Guna,157000000.0,77,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,64
Teknologi informasi,Kawin,Mikro,Mikro Kredit Usaha Rakyat,172000000.0,48,Medium,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Lolos Bersyarat,Lancar,31
Lain-Lain,Kawin,Konsumer,Kredit Multi Guna,53500000.0,60,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,40
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,327870000.0,180,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,41
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,1180000000.0,240,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,33
Lain-Lain,Kawin,Konsumer,Kredit Multi Guna,263000000.0,47,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,52
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,272700000.0,180,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,31
"Pengajar (Guru,Dosen)",Kawin,Mikro,Mikro Non - Kredit Usaha Rakyat,17369000.0,12,Low,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Accept,Lancar,58
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,50000000.0,84,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,45
Pengamanan,Kawin,Konsumer,Kredit Pemilikan Rumah,162300000.0,156,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,41
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,262500000.0,192,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,34
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,400000000.0,120,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,40
Lain-Lain,Kawin,Konsumer,Kredit Pemilikan Rumah,198470000.0,180,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,35
Administrasi umum,Kawin,Konsumer,Kredit Multi Guna,37200000.0,36,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,53
Wiraswasta,Belum Kawin,Mikro,Mikro Kredit Usaha Rakyat,500000000.0,60,Medium,Tidak Terdaftar KUR,Tidak Sesuai,Tidak,Tidak Lolos,Reject,Lancar,28
Wiraswasta,Kawin,Mikro,Mikro Kredit Usaha Rakyat,200000000.0,60,Low,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Accept,Lancar,28
Administrasi umum,Belum Kawin,Konsumer,Kredit Multi Guna,78300000.0,60,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,36
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,287300000.0,209,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,41
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,100000000.0,48,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,51
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,155000000.0,48,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,37
Lain-Lain,Kawin,Konsumer,Kredit Multi Guna,216000000.0,144,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,56
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,24000000.0,60,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,31
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,250000000.0,240,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,32
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,1057000000.0,240,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,38
Administrasi umum,Kawin,Konsumer,Kredit Multi Guna,70000000.0,24,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,37
Administrasi umum,Belum Kawin,Konsumer,Kredit Multi Guna,20000000.0,36,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,24
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,200000000.0,120,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,56
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,42000000.0,60,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,41
Lain-Lain,Kawin,Konsumer,Kredit Multi Guna,25000000.0,10,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,42
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,166000000.0,65,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,53
Militer,Kawin,Konsumer,Kredit Multi Guna,100000000.0,120,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,46
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,130000000.0,48,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,41
Pelajar/Mahasiswa,Kawin,Konsumer,Kredit Multi Guna,50000000.0,12,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,58
Administrasi umum,Kawin,Konsumer,Kredit Multi Guna,139000000.0,84,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,43
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,160000000.0,84,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,41
Lain-Lain,Kawin,Konsumer,Kredit Multi Guna,25000000.0,11,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,39
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,200000000.0,84,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,48
Marketing,Belum Kawin,Konsumer,Kredit Pemilikan Rumah,198470000.0,180,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,24
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,200000000.0,36,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,38
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,165000000.0,21,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,58
"Tenaga Medis (Perawat, Bidan, dan sebagainya)",Kawin,Konsumer,Kredit Multi Guna,251200000.0,120,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,30
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,30000000.0,36,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,36
Marketing,Kawin,Konsumer,Kredit Pemilikan Rumah,300587580.0,180,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,33
Lain-Lain,Kawin,Konsumer,Kredit Multi Guna,186900000.0,76,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,52
Lain-Lain,Kawin,Konsumer,Kredit Multi Guna,89000000.0,60,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,49
Wiraswasta,Kawin,Mikro,Mikro Kredit Usaha Rakyat,250000000.0,48,Low,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Accept,Lancar,66
Administrasi umum,Kawin,Konsumer,Kredit Multi Guna,27414000.0,11,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,41
Pengamanan,Kawin,Konsumer,Kredit Multi Guna,58000000.0,48,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,41
Lain-Lain,Kawin,Konsumer,Kredit Multi Guna,100100000.0,60,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,39
Pegawai pemerintahan/lembaga negara,Cerai,Konsumer,Kredit Multi Guna,55000000.0,60,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,43
Marketing,Kawin,Konsumer,Kredit Multi Guna,45000000.0,36,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,38
"Transportasi darat (masinis, sopir,kondektur)",Cerai,Konsumer,Kredit Multi Guna,215200000.0,120,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,43
Eksekutif,Belum Kawin,Konsumer,Kredit Multi Guna,200000000.0,120,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,30
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,600000000.0,36,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,55
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,291766310.0,108,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,48
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,118000000.0,36,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,57
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,24800000.0,110,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,51
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,879000000.0,183,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,43
Marketing,Belum Kawin,Konsumer,Kredit Pemilikan Rumah,179000000.0,240,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,32
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,70000000.0,60,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,61
Administrasi umum,Kawin,Konsumer,Kredit Multi Guna,128000000.0,120,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,41
Lain-Lain,Kawin,Konsumer,Kredit Multi Guna,200000000.0,72,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,40
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,50000000.0,24,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,55
Wiraswasta,Belum Kawin,Mikro,Mikro Kredit Usaha Rakyat,191692800.0,60,High,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,25
Administrasi umum,Kawin,Konsumer,Kredit Pemilikan Rumah,175000000.0,180,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,34
Administrasi umum,Kawin,Konsumer,Kredit Multi Guna,267000000.0,120,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,46
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,270000000.0,132,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,41
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,80000000.0,60,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,42
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,230000000.0,180,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,39
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,810000000.0,192,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,27
Pengamanan,Kawin,Konsumer,Kredit Multi Guna,200000000.0,84,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,50
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,141000000.0,60,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,41
Lain-Lain,Belum Kawin,Konsumer,Kredit Pemilikan Rumah,160300000.0,180,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,22
Eksekutif,Kawin,Konsumer,Kredit Multi Guna,40000000.0,12,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,58
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,113804176.0,66,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,44
Administrasi umum,Kawin,Konsumer,Kredit Pemilikan Rumah,384000000.0,117,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,32
Administrasi umum,Kawin,Konsumer,Kredit Multi Guna,55000000.0,24,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,47
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,193000000.0,96,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,60
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,368000000.0,120,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,43
Pegawai pemerintahan/lembaga negara,Belum Kawin,Konsumer,Kredit Multi Guna,150000000.0,120,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,24
Lain-Lain,Belum Kawin,Konsumer,Kredit Pemilikan Rumah,179150000.0,180,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,27
"Pengajar (Guru,Dosen)",Kawin,Mikro,Mikro Kredit Usaha Rakyat,500000000.0,60,High,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,57
Pengamanan,Kawin,Konsumer,Kredit Multi Guna,130100000.0,60,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,53
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,174000000.0,48,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,56
Wiraswasta,Belum Kawin,Mikro,Mikro Kredit Usaha Rakyat,150000000.0,36,High,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,22
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,541000000.0,149,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,47
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,135300000.0,60,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,51
Wiraswasta,Kawin,Mikro,Mikro Kredit Usaha Rakyat,100000000.0,36,High,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,41
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,20000000.0,60,Medium,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,51
Lain-Lain,Kawin,Konsumer,Kredit Multi Guna,27000000.0,11,Medium,TIDAK DILAKUKAN,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,45
Nelayan,Kawin,Mikro,Mikro Kredit Usaha Rakyat,15000000.0,24,Low,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Accept,Lancar,52
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,300000000.0,96,Medium,TIDAK DILAKUKAN,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,52
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,20000000.0,24,Medium,TIDAK DILAKUKAN,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,56
Pengamanan,Kawin,Konsumer,Kredit Multi Guna,85000000.0,60,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,45
Pegawai pemerintahan/lembaga negara,Belum Kawin,Konsumer,Kredit Multi Guna,36000000.0,24,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,25
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,10000000.0,36,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,52
Wiraswasta,Kawin,Mikro,Mikro Kredit Usaha Rakyat,150000000.0,36,High,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,35
Wiraswasta,Kawin,Mikro,Mikro Kredit Usaha Rakyat,180000000.0,60,Low,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Accept,Lancar,48
Wiraswasta,Kawin,Mikro,Mikro Kredit Usaha Rakyat,200000000.0,60,Low,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Accept,Lancar,21
Wiraswasta,Kawin,Mikro,Mikro Kredit Usaha Rakyat,350000000.0,48,High,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,40
"Transportasi darat (masinis, sopir,kondektur)",Kawin,Konsumer,Kredit Multi Guna,247300000.0,180,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,26
Administrasi umum,Belum Kawin,Konsumer,Kredit Pemilikan Rumah,179150000.0,180,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,30
Militer,Kawin,Konsumer,Kredit Pemilikan Rumah,210000000.0,156,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,46
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,986700000.0,240,Medium,TIDAK DILAKUKAN,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,38
Administrasi umum,Kawin,Konsumer,Kredit Multi Guna,600000000.0,180,Medium,TIDAK DILAKUKAN,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,40
Pensiunan,Cerai,Konsumer,Kredit Multi Guna,70000000.0,107,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,61
Eksekutif,Kawin,Konsumer,Kredit Multi Guna,1050000000.0,180,Medium,TIDAK DILAKUKAN,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,41
Pensiunan,Kawin,Konsumer,Kredit Multi Guna,168300000.0,101,Medium,TIDAK DILAKUKAN,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,62
Pegawai pemerintahan/lembaga negara,Cerai,Konsumer,Kredit Multi Guna,86000000.0,37,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,42
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,60000000.0,24,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,58
Eksekutif,Kawin,Konsumer,Kredit Pemilikan Rumah,459000000.0,120,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,42
Accounting/Finance Officer,Belum Kawin,Konsumer,Kredit Pemilikan Rumah,195800000.0,240,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,25
Pegawai pemerintahan/lembaga negara,Cerai,Konsumer,Kredit Multi Guna,132000000.0,180,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,32
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,286100000.0,181,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,34
"Transportasi darat (masinis, sopir,kondektur)",Kawin,Konsumer,Kredit Multi Guna,245100000.0,150,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,44
Lain-Lain,Kawin,Konsumer,Kredit Multi Guna,31500000.0,11,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,28
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,555000000.0,193,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,42
Administrasi umum,Kawin,Konsumer,Kredit Multi Guna,78600000.0,45,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,52
Lain-Lain,Cerai,Konsumer,Kredit Multi Guna,265800000.0,178,Medium,TIDAK DILAKUKAN,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,42
Eksekutif,Kawin,Konsumer,Kredit Multi Guna,80000000.0,60,Medium,TIDAK DILAKUKAN,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,61
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,820000000.0,194,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,42
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,89000000.0,46,Medium,TIDAK DILAKUKAN,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,54
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,171000000.0,60,Medium,TIDAK DILAKUKAN,Tidak Sesuai,Tidak,Lolos Bersyarat,Waiting Approval,Lancar,38
Administrasi umum,Belum Kawin,Konsumer,Kredit Pemilikan Rumah,175190000.0,180,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,24
Lain-Lain,Kawin,Konsumer,Kredit Multi Guna,95000000.0,60,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,43
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,232000000.0,120,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,36
Pelajar/Mahasiswa,Belum Kawin,Konsumer,Kredit Multi Guna,50000000.0,60,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,23
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,199800000.0,119,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,60
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,40000000.0,40,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,42
Administrasi umum,Kawin,Konsumer,Kredit Multi Guna,274000000.0,91,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,48
Lain-Lain,Kawin,Konsumer,Kredit Multi Guna,300000000.0,180,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,38
Marketing,Kawin,Konsumer,Kredit Pemilikan Rumah,1000000000.0,100,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,48
Marketing,Belum Kawin,Konsumer,Kredit Pemilikan Rumah,179150000.0,180,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,21
